date,store_id,item_id,item_brand,item_category,item_unit_price,item_unit_net_price,item_discount_amount,item_promo_applied,demand
2025-01-01,101,5001,PetFresh,DRY FOOD,29.99,29.99,0.0,0,5
2025-01-01,101,5002,NutriPaws,DRY FOOD,34.99,34.99,0.0,0,5
2025-01-01,101,5003,PureChow,WET FOOD,12.49,11.46,1.03,1,6
2025-01-01,101,5010,AquaBites,WET FOOD,8.99,8.99,0.0,0,1
2025-01-01,101,5033,SpecialDiet,SPECIALTY,54.99,54.99,0.0,0,8
2025-01-01,102,5002,NutriPaws,DRY FOOD,34.99,32.73,2.26,1,5
2025-01-01,102,5003,PureChow,WET FOOD,12.49,12.49,0.0,0,3
2025-01-01,102,5010,AquaBites,WET FOOD,8.99,8.99,0.0,0,24
2025-01-01,102,5034,OrganicPet,RAW FOOD,39.99,39.99,0.0,0,1
2025-01-01,103,5001,PetFresh,DRY FOOD,29.99,27.24,2.75,1,3
2025-01-01,103,5002,NutriPaws,DRY FOOD,34.99,34.99,0.0,0,4
2025-01-01,103,5003,PureChow,WET FOOD,12.49,12.49,0.0,0,5
2025-01-01,103,5010,AquaBites,WET FOOD,8.99,8.99,0.0,0,6
2025-01-02,101,5001,PetFresh,DRY FOOD,29.99,29.99,0.0,0,5
2025-01-02,101,5002,NutriPaws,DRY FOOD,34.99,34.99,0.0,0,5
2025-01-02,102,5001,PetFresh,DRY FOOD,29.99,29.99,0.0,0,2
2025-01-02,102,5002,NutriPaws,DRY FOOD,34.99,34.99,0.0,0,3
2025-01-02,102,5003,PureChow,WET FOOD,12.49,10.69,1.8,1,5
2025-01-02,102,5010,AquaBites,WET FOOD,8.99,8.03,0.96,1,3
2025-01-02,102,5032,BulkBones,TREATS,3.99,3.99,0.0,0,6
2025-01-02,103,5001,PetFresh,DRY FOOD,29.99,29.99,0.0,0,5
2025-01-02,103,5002,NutriPaws,DRY FOOD,34.99,34.99,0.0,0,7
2025-01-02,103,5003,PureChow,WET FOOD,12.49,12.49,0.0,0,4
2025-01-03,101,5001,PetFresh,DRY FOOD,29.99,24.31,5.68,1,6
2025-01-03,101,5002,NutriPaws,DRY FOOD,34.99,34.99,0.0,0,5
2025-01-03,101,5003,PureChow,WET FOOD,12.49,12.49,0.0,0,7
2025-01-03,101,5010,AquaBites,WET FOOD,8.99,7.51,1.48,1,4
2025-01-03,102,5001,PetFresh,DRY FOOD,29.99,29.99,0.0,0,5
2025-01-03,102,5002,NutriPaws,DRY FOOD,34.99,34.99,0.0,0,3
2025-01-03,102,5003,PureChow,WET FOOD,12.49,12.49,0.0,0,8
2025-01-03,102,5010,AquaBites,WET FOOD,8.99,8.99,0.0,0,1
2025-01-03,103,5001,PetFresh,DRY FOOD,29.99,29.99,0.0,0,5
2025-01-03,103,5002,NutriPaws,DRY FOOD,34.99,34.99,0.0,0,6
2025-01-03,103,5003,PureChow,WET FOOD,12.49,12.49,0.0,0,2
2025-01-03,103,5010,AquaBites,WET FOOD,8.99,8.99,0.0,0,1
2025-01-04,101,5001,PetFresh,DRY FOOD,29.99,29.99,0.0,0,5
2025-01-04,101,5002,NutriPaws,DRY FOOD,34.99,34.99,0.0,0,3
2025-01-04,101,5003,PureChow,WET FOOD,12.49,12.49,0.0,0,5
2025-01-04,101,5010,AquaBites,WET FOOD,8.99,8.99,0.0,0,13
2025-01-04,101,5020,RawNature,RAW FOOD,45.99,45.99,0.0,0,1
2025-01-04,102,5001,PetFresh,DRY FOOD,29.99,29.99,0.0,0,5
2025-01-04,102,5002,NutriPaws,DRY FOOD,34.99,34.99,0.0,0,4
2025-01-04,103,5001,PetFresh,DRY FOOD,29.99,29.99,0.0,0,3
2025-01-04,103,5002,NutriPaws,DRY FOOD,34.99,34.99,0.0,0,4
2025-01-04,103,5003,PureChow,WET FOOD,12.49,12.49,0.0,0,5
2025-01-04,103,5010,AquaBites,WET FOOD,8.99,8.99,0.0,0,1
2025-01-05,101,5001,PetFresh,DRY FOOD,29.99,29.99,0.0,0,6
2025-01-05,101,5002,NutriPaws,DRY FOOD,34.99,34.99,0.0,0,4
2025-01-05,101,5003,PureChow,WET FOOD,12.49,11.01,1.48,1,4
2025-01-05,101,5021,HealthyTails,SUPPLEMENTS,22.99,22.99,0.0,0,1
